Dimension,TP,TN,FP,FN,Accuracy,Precision,Sensitivity,Specificity,F1 Score,Elapsed Time (s),Usage (s),Samples
2,189,124,83,18,0.7560386473429952,0.6948529411764706,0.9130434782608695,0.5990338164251208,0.789144050104384,0.017190217971801758,0.017190217971801758,518
3,168,167,40,39,0.8091787439613527,0.8076923076923077,0.8115942028985508,0.8067632850241546,0.8096385542168675,0.13990283012390137,0.13990283012390137,518
4,170,167,40,37,0.8140096618357487,0.8095238095238095,0.821256038647343,0.8067632850241546,0.8153477218225421,0.2517549991607666,0.2517549991607666,518
5,170,168,39,37,0.8164251207729468,0.8133971291866029,0.821256038647343,0.8115942028985508,0.8173076923076922,0.22288894653320312,0.22288894653320312,518
6,164,168,39,43,0.8019323671497585,0.8078817733990148,0.7922705314009661,0.8115942028985508,0.8000000000000002,0.1464698314666748,0.1464698314666748,518
7,150,167,40,57,0.7657004830917874,0.7894736842105263,0.7246376811594203,0.8067632850241546,0.7556675062972293,0.20634984970092773,0.20634984970092773,518
8,144,167,40,63,0.751207729468599,0.782608695652174,0.6956521739130435,0.8067632850241546,0.7365728900255755,0.2927696704864502,0.2927696704864502,518
9,144,169,38,63,0.7560386473429952,0.7912087912087912,0.6956521739130435,0.8164251207729468,0.7403598971722366,0.25957489013671875,0.25957489013671875,518
10,89,195,12,118,0.6859903381642513,0.8811881188118812,0.42995169082125606,0.9420289855072463,0.577922077922078,0.23314189910888672,0.23314189910888672,518
2,377,235,179,37,0.7391304347826086,0.6780575539568345,0.9106280193236715,0.5676328502415459,0.7773195876288661,1.026271104812622,1.026271104812622,1036
3,337,339,75,77,0.8164251207729468,0.8179611650485437,0.8140096618357487,0.8188405797101449,0.8159806295399515,0.8895719051361084,0.8895719051361084,1036
4,340,339,75,74,0.8200483091787439,0.8192771084337349,0.821256038647343,0.8188405797101449,0.8202653799758746,0.6342868804931641,0.6342868804931641,1036
5,340,341,73,74,0.822463768115942,0.8232445520581114,0.821256038647343,0.8236714975845411,0.8222490931076178,0.8625380992889404,0.8625380992889404,1036
6,302,336,78,112,0.7705314009661836,0.7947368421052632,0.7294685990338164,0.8115942028985508,0.760705289672544,0.9792580604553223,0.9792580604553223,1036
7,288,336,78,126,0.7536231884057971,0.7868852459016393,0.6956521739130435,0.8115942028985508,0.7384615384615385,0.718890905380249,0.718890905380249,1036
8,289,339,75,125,0.7584541062801933,0.7939560439560439,0.6980676328502415,0.8188405797101449,0.7429305912596402,0.8663322925567627,0.8663322925567627,1036
9,285,341,73,129,0.7560386473429952,0.7960893854748603,0.6884057971014492,0.8236714975845411,0.7383419689119171,0.8170759677886963,0.8170759677886963,1036
10,279,362,52,135,0.7741545893719807,0.8429003021148036,0.6739130434782609,0.8743961352657005,0.7489932885906041,0.9304277896881104,0.9304277896881104,1036
2,507,501,121,114,0.8109412711182623,0.8073248407643312,0.8164251207729468,0.8054662379421221,0.8118494795836669,0.9831819534301758,0.9831819534301758,1555
3,512,501,121,109,0.8149637972646823,0.8088467614533965,0.8244766505636071,0.8054662379421221,0.8165869218500799,0.9897229671478271,0.9897229671478271,1555
4,512,504,118,109,0.8173773129525342,0.8126984126984127,0.8244766505636071,0.8102893890675241,0.818545163868905,0.9931278228759766,0.9931278228759766,1555
5,458,496,126,163,0.7674979887369268,0.7842465753424658,0.7375201288244766,0.797427652733119,0.7601659751037344,1.2108099460601807,1.2108099460601807,1555
6,430,496,126,191,0.7449718423169751,0.7733812949640287,0.6924315619967794,0.797427652733119,0.7306711979609175,1.1657280921936035,1.1657280921936035,1555
7,429,502,120,192,0.7489943684633951,0.7814207650273224,0.6908212560386473,0.8070739549839229,0.7333333333333333,1.3007659912109375,1.3007659912109375,1555
8,433,502,120,188,0.7522123893805309,0.783001808318264,0.6972624798711755,0.8070739549839229,0.7376490630323681,1.1717021465301514,1.1717021465301514,1555
9,421,506,116,200,0.7457763475462591,0.7839851024208566,0.677938808373591,0.8135048231511254,0.7271157167530224,1.2697789669036865,1.2697789669036865,1555
10,265,589,33,356,0.6870474658085277,0.889261744966443,0.42673107890499196,0.9469453376205788,0.5767138193688792,2.0122780799865723,2.0122780799865723,1555
2,704,677,152,124,0.8334339167169583,0.822429906542056,0.8502415458937198,0.8166465621230398,0.8361045130641331,1.4270861148834229,1.4270861148834229,2073
3,693,670,159,135,0.8225709112854557,0.8133802816901409,0.8369565217391305,0.8082026537997588,0.8250000000000001,1.1074411869049072,1.1074411869049072,2073
4,693,676,153,135,0.8261919130959565,0.8191489361702128,0.8369565217391305,0.8154402895054282,0.8279569892473119,1.3677198886871338,1.3677198886871338,2073
