Dimension,TP,TN,FP,FN,Accuracy,Precision,Sensitivity,Specificity,F1 Score,Elapsed Time (s),Usage (s),Samples
5,35,1651,8,1623,0.5082906240578836,0.813953488372093,0.021109770808202654,0.995177817962628,0.0411522633744856,1.7852096557617188,1.7852096557617188,4147
6,36,1651,8,1622,0.5085921012963521,0.8181818181818182,0.021712907117008445,0.995177817962628,0.04230317273795534,1.9381461143493652,1.9381461143493652,4147
7,36,1651,8,1622,0.5085921012963521,0.8181818181818182,0.021712907117008445,0.995177817962628,0.04230317273795534,1.5101439952850342,1.5101439952850342,4147
8,36,1651,8,1622,0.5085921012963521,0.8181818181818182,0.021712907117008445,0.995177817962628,0.04230317273795534,1.7836909294128418,1.7836909294128418,4147
9,36,1651,8,1622,0.5085921012963521,0.8181818181818182,0.021712907117008445,0.995177817962628,0.04230317273795534,1.9617280960083008,1.9617280960083008,4147
10,38,1651,8,1620,0.5091950557732892,0.8260869565217391,0.022919179734620022,0.995177817962628,0.04460093896713615,1.6598930358886719,1.6598930358886719,4147
2,1865,7,1859,0,0.5017421602787456,0.5008055853920516,1.0,0.0037513397642015005,0.6673823582036142,2.2482120990753174,2.2482120990753174,4665
3,39,1858,8,1826,0.5084427767354597,0.8297872340425532,0.02091152815013405,0.9957127545551983,0.04079497907949791,1.8887360095977783,1.8887360095977783,4665
4,39,1858,8,1826,0.5084427767354597,0.8297872340425532,0.02091152815013405,0.9957127545551983,0.04079497907949791,2.209789991378784,2.209789991378784,4665
5,39,1858,8,1826,0.5084427767354597,0.8297872340425532,0.02091152815013405,0.9957127545551983,0.04079497907949791,1.7079532146453857,1.7079532146453857,4665
6,40,1858,8,1825,0.5087108013937283,0.8333333333333334,0.021447721179624665,0.9957127545551983,0.04181913225300576,2.0177829265594482,2.0177829265594482,4665
7,40,1858,8,1825,0.5087108013937283,0.8333333333333334,0.021447721179624665,0.9957127545551983,0.04181913225300576,2.0025720596313477,2.0025720596313477,4665
8,40,1858,8,1825,0.5087108013937283,0.8333333333333334,0.021447721179624665,0.9957127545551983,0.04181913225300576,2.1067399978637695,2.1067399978637695,4665
9,42,1858,8,1823,0.5092468507102653,0.84,0.022520107238605896,0.9957127545551983,0.04386422976501306,1.7535359859466553,1.7535359859466553,4665
10,42,1858,8,1823,0.5092468507102653,0.84,0.022520107238605896,0.9957127545551983,0.04386422976501306,2.1629438400268555,2.1629438400268555,4665
2,2073,7,1993,0,0.5106800883869383,0.5098376783079194,1.0,0.0035,0.675354292230005,2.2682127952575684,2.2682127952575684,5184
3,2073,0,2000,0,0.5089614534740977,0.5089614534740977,1.0,0.0,0.6745850959973967,1.8403959274291992,1.8403959274291992,5184
4,2073,0,2000,0,0.5089614534740977,0.5089614534740977,1.0,0.0,0.6745850959973967,2.073395013809204,2.073395013809204,5184
5,2073,0,2000,0,0.5089614534740977,0.5089614534740977,1.0,0.0,0.6745850959973967,2.513497829437256,2.513497829437256,5184
6,2073,0,2000,0,0.5089614534740977,0.5089614534740977,1.0,0.0,0.6745850959973967,2.1867339611053467,2.1867339611053467,5184
7,2073,0,2000,0,0.5089614534740977,0.5089614534740977,1.0,0.0,0.6745850959973967,1.8944728374481201,1.8944728374481201,5184
8,2073,0,2000,0,0.5089614534740977,0.5089614534740977,1.0,0.0,0.6745850959973967,1.8031878471374512,1.8031878471374512,5184
9,2073,0,2000,0,0.5089614534740977,0.5089614534740977,1.0,0.0,0.6745850959973967,1.9446918964385986,1.9446918964385986,5184
10,2073,0,2000,0,0.5089614534740977,0.5089614534740977,1.0,0.0,0.6745850959973967,1.8191859722137451,1.8191859722137451,5184
